,Male,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
698,0,18,6,5,1,7,4,lively
699,1,25,5,5,1,3,6,extraverted
700,0,18,6,7,5,5,6,serious
701,1,21,5,6,2,7,4,responsible
702,0,19,3,4,7,6,5,serious
703,1,17,5,5,7,6,5,lively
704,0,20,4,5,6,6,1,responsible
705,1,18,6,3,1,5,5,dependable
706,1,22,5,2,3,6,1,serious
707,1,19,5,6,5,7,5,extraverted
708,0,18,5,5,7,6,5,extraverted
